model,feature,label,r2,mae,pearson,dyn
pool_cycle,hr_std,心率波动,-0.377352378834922,1.1324936513486386,0.1264434685350832,0.7536106065197241
pool_cycle,eye_pupil_filtered_mean,瞳孔直径,0.7041583194970682,0.10498219116981809,0.8507191382909501,0.9882052053744648
pool_cycle,eye_aoi_coverage_ratio,AOI覆盖,-0.19179716277697745,0.08842317795126245,0.25209571127042685,0.7574150521336073
pool_cycle,log_action_density_win,操作密度,-1.1797020401958265,0.1182841133410804,0.004723046893696344,1.0613067816245307
pool_cycle,log_action_count_win,操作次数,-1.1654487069675885,3.5349036302495067,-0.0009490819213524689,1.0333220726155445
pool_cycle,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.3659361145513411,0.8654313352781302,0.2722996300928033,0.9340288942551558
pool_cycle,blink_rate_per_min,眨眼频率,0.05780815343800205,8.045823677901202,0.4823673876920045,0.8932711788244823
encdec_delta,hr_mean,心率均值,0.7907839868545893,3.3846971066294778,0.8956570988935296,1.001270780907902
encdec_delta,hr_std,心率波动,-0.34644336579666146,1.1066291643203785,0.21715238596014752,0.8416524710578922
encdec_delta,eye_pupil_filtered_mean,瞳孔直径,0.6101136325974867,0.11869558583028009,0.8023151905960507,0.976450703429293
encdec_delta,eye_aoi_coverage_ratio,AOI覆盖,-0.17905087391079189,0.08230927357265165,0.23275859082492342,0.7118307631542626
encdec_delta,log_action_density_win,操作密度,-0.8157373149646185,0.11031536888946425,0.08457748943218711,0.9758801231466196
encdec_delta,log_action_count_win,操作次数,-0.8822371725875526,3.424892383631792,0.08015095248879013,1.0130909892928053
encdec_delta,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.3566325116199258,0.8440157938245219,0.29397641711309863,0.9595215134819358
encdec_delta,blink_rate_per_min,眨眼频率,0.23668864176891635,7.245240671746382,0.566905730895554,0.8558299600657396
encdec_cycle,hr_mean,心率均值,0.7787535459345092,3.3752721426488104,0.8922454187877309,1.0239577274015448
encdec_cycle,hr_std,心率波动,-0.4266812954966457,1.1309668588895827,0.16280087550962574,0.8281621901800585
encdec_cycle,eye_pupil_filtered_mean,瞳孔直径,0.6711174542470073,0.11395036776857549,0.8294476548925886,0.9542210970133791
encdec_cycle,eye_aoi_coverage_ratio,AOI覆盖,-0.15078690338952594,0.08455577646886778,0.2150115398756223,0.6581469444800696
encdec_cycle,log_action_density_win,操作密度,-0.9727932549289797,0.12003771252539484,0.0016687063992377245,0.9505100946297883
encdec_cycle,log_action_count_win,操作次数,-0.9657499337479103,3.5479278142105892,-0.005501524740391656,0.9438455341735543
encdec_cycle,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.3235518149957566,0.834000136234782,0.29051497196932374,0.927453960070291
encdec_cycle,blink_rate_per_min,眨眼频率,0.06740657055464294,7.803626965090403,0.4737130916691491,0.8548327386480378
