sample_id,subject,task,task_difficulty,y_nasa,weighted_step_score,n_windows,y_nasa_true,y_nasa_hat,S_true,S_hat,S_hat_minus_S_true
subject_20_task_5_6_repeat_2,20,5_6,高,6.733333333333333,0.2857142857142857,54,6.733333333333333,5.806053638458252,0.298,0.3258183908462524,0.027818390846252428
subject_21_task_3,21,3,低,2.3333333333333335,1.0,6,2.3333333333333335,4.259028196334839,0.9299999999999999,0.8722291541099548,-0.05777084589004511
subject_21_task_4,21,4,中,3.6,0.25,141,3.6,5.105071067810059,0.367,0.32184786796569825,-0.04515213203430174
subject_21_task_5,21,5,低,2.6,0.6666666666666666,56,2.6,5.371249437332153,0.6886666666666666,0.605529183546702,-0.0831374831199646
subject_21_task_5_6,21,5_6,高,7.133333333333334,0.5714285714285714,187,7.133333333333334,5.788491249084473,0.486,0.5263452625274658,0.04034526252746584
subject_22_task_3,22,3,低,2.2666666666666666,1.0,40,2.2666666666666666,3.1595845222473145,0.9319999999999999,0.9052124643325805,-0.026787535667419426
subject_22_task_4,22,4,中,4.733333333333333,1.0,209,4.733333333333333,5.262636661529541,0.858,0.8421209001541138,-0.015879099845886202
subject_22_task_5,22,5,低,3.2666666666666666,0.6666666666666666,96,3.2666666666666666,5.193687200546265,0.6686666666666666,0.6108560506502787,-0.05781061601638793
subject_22_task_5_6,22,5_6,高,6.533333333333333,0.8571428571428571,147,6.533333333333333,5.576977252960205,0.704,0.7326906824111938,0.02869068241119388
subject_23_task_3,23,3,低,2.4,0.625,69,2.4,4.852213382720947,0.6655,0.5919335985183716,-0.07356640148162841
subject_23_task_5,23,5,低,5.933333333333334,0.6666666666666666,27,5.933333333333334,5.616751194000244,0.5886666666666667,0.5981641308466593,0.009497464179992643
subject_23_task_5_6,23,5_6,高,6.866666666666666,0.7142857142857143,102,6.866666666666666,5.7943150997161865,0.594,0.6261705470085144,0.032170547008514405
subject_23_task_5_6_repeat_1,23,5_6,高,6.533333333333333,0.7142857142857143,79,6.533333333333333,5.661849021911621,0.604,0.6301445293426514,0.026144529342651435
subject_24_task_3,24,3,低,4.2,1.0,78,4.2,5.082415342330933,0.874,0.847527539730072,-0.026472460269928
subject_24_task_4,24,4,中,5.6,1.0,275,5.6,5.720368385314941,0.832,0.8283889484405518,-0.0036110515594481862
subject_24_task_5_6,24,5_6,高,7.333333333333333,0.1428571428571428,354,7.333333333333333,6.767624855041504,0.18,0.19697125434875484,0.01697125434875485
subject_25_task_3,25,3,低,4.666666666666667,0.5,219,4.666666666666667,5.054139614105225,0.51,0.4983758115768433,-0.011624188423156712
subject_25_task_4,25,4,中,5.666666666666667,0.9166666666666666,354,5.666666666666667,5.738801002502441,0.7716666666666666,0.7695026365915933,-0.0021640300750732644
subject_25_task_5_6,25,5_6,高,6.133333333333334,0.2857142857142857,463,6.133333333333334,5.716019153594971,0.31599999999999995,0.32851942539215084,0.012519425392150896
subject_26_task_3,26,3,低,2.933333333333333,0.5,144,2.933333333333333,4.486007452011108,0.562,0.5154197764396667,-0.04658022356033331
subject_26_task_4,26,4,中,5.333333333333333,0.25,313,5.333333333333333,5.561420917510986,0.315,0.30815737247467045,-0.006842627525329548
subject_26_task_5_6,26,5_6,高,6.466666666666667,0.1428571428571428,391,6.466666666666667,6.129043102264404,0.20599999999999996,0.21612870693206784,0.010128706932067882
